center3,paint,leftCorner3,rightCorner3,midrange,restricted
0.03433755541221134,0.013898859650524991,0.02132016327874767,0.026089678474051102,0.024763031575663945,0.0076233824564652265
0.013898859650524991,0.08054523616824441,0.01616761760374582,-0.008561120677544028,0.04099183302851789,0.029674773275204673
0.02132016327874767,0.01616761760374582,0.047673903467224235,0.02752581689404516,0.027282447417574622,0.009972534257264304
0.026089678474051102,-0.008561120677544028,0.02752581689404516,0.050496417729825584,0.01539344574218866,0.017458153808248972
0.024763031575663945,0.04099183302851789,0.027282447417574622,0.01539344574218866,0.04755892402065441,0.01585428001937084
0.0076233824564652265,0.029674773275204673,0.009972534257264304,0.017458153808248972,0.01585428001937084,0.06325364207417508
center3,paint,leftCorner3,rightCorner3,midrange,restricted
0.0092776932995696,0.009881937425734634,0.0078017424000212,0.006164869986252493,0.004872490192420995,0.007887740419527193
0.009881937425734634,0.029182333932510608,0.01304089073284603,0.01453882024642535,0.010970864658576043,0.031214942845950278
0.0078017424000212,0.01304089073284603,0.03310456133511848,0.012201929681093536,0.004532947107033071,0.009474017792389787
0.006164869986252493,0.01453882024642535,0.012201929681093536,0.04019094063733568,0.009774204014815253,0.015480059764382163
0.004872490192420995,0.010970864658576043,0.004532947107033071,0.009774204014815253,0.008797204340721418,0.012558468223811145
0.007887740419527193,0.031214942845950278,0.009474017792389787,0.015480059764382163,0.012558468223811145,0.0505079295828846
