Group,Player_id,Coefficient_name,value
0,101106,center3,-0.084049839633947118
0,101106,paint,-0.059135697249011389
0,101106,leftCorner3,-0.09146709197195714
0,101106,rightCorner3,-0.076895384509356318
0,101106,midrange,-0.14141907155562253
0,101106,restricted,-0.027070843281703529
0,101107,center3,-0.06786780771706391
0,101107,paint,0.040386575037020395
0,101107,leftCorner3,0.092544613945424348
0,101107,rightCorner3,0.059762405617418607
0,101107,midrange,0.041998106617384935
0,101107,restricted,0.13541286776103414
0,101108,center3,0.41737355110448104
0,101108,paint,0.63062100456843562
0,101108,leftCorner3,0.30028587229550424
0,101108,rightCorner3,0.18540811551481751
0,101108,midrange,0.58198336706375087
0,101108,restricted,0.1143123986190154
0,101109,center3,0.030182791685164755
0,101109,paint,0.071961084979416168
0,101109,leftCorner3,-0.00020113287368193146
0,101109,rightCorner3,-0.038893894917187352
0,101109,midrange,0.036476582740644158
0,101109,restricted,-0.053421107500115458
0,101110,center3,-0.13081371537751549
0,101110,paint,-0.14683799073965817
0,101110,leftCorner3,-0.15179246984380879
0,101110,rightCorner3,-0.13450981538017001
0,101110,midrange,-0.1528855717302976
0,101110,restricted,-0.16715958968713904
0,101111,center3,0.075518489759378665
0,101111,paint,0.00093703264430885841
0,101111,leftCorner3,0.0062133703332923054
0,101111,rightCorner3,-0.066888633510706827
0,101111,midrange,0.060731157547333443
0,101111,restricted,-0.26803315035905212
0,101112,center3,0.12151154888984325
0,101112,paint,-0.086241430119347956
0,101112,leftCorner3,0.046517969563347014
0,101112,rightCorner3,0.019679044663693232
0,101112,midrange,0.021234019540058369
0,101112,restricted,-0.22213101242805591
0,101114,center3,0.086457043286520568
0,101114,paint,-0.022083046386855203
0,101114,leftCorner3,0.090112096284848661
0,101114,rightCorner3,-0.0069751006590634979
0,101114,midrange,0.058061611019121113
0,101114,restricted,-0.36546625293381957
0,101122,center3,0.079772554518428213
0,101122,paint,-0.061539979515837992
0,101122,leftCorner3,0.065064500127274633
0,101122,rightCorner3,0.080448331673656115
0,101122,midrange,0.02775071001547218
0,101122,restricted,-0.063817839188899508
0,101123,center3,0.024090002142808591
0,101123,paint,0.32551020491498572
0,101123,leftCorner3,-0.02313527102948933
0,101123,rightCorner3,-0.15215800179342079
0,101123,midrange,0.14478369840093783
0,101123,restricted,-0.049878197470708166
0,101126,center3,-0.016746270301637577
0,101126,paint,-0.14975980572582617
0,101126,leftCorner3,0.016670731038443042
0,101126,rightCorner3,-0.026282887269589814
0,101126,midrange,-0.025945651002284079
0,101126,restricted,-0.22211595425084771
0,101127,center3,0.0033559279006913668
0,101127,paint,0.39008456678972803
0,101127,leftCorner3,0.226968168329828
0,101127,rightCorner3,0.017814818372747069
0,101127,midrange,0.26765020842589277
0,101127,restricted,0.17596021270778289
0,101128,center3,-0.20386607288510031
0,101128,paint,-0.11752156304498783
0,101128,leftCorner3,-0.13407844678688738
0,101128,rightCorner3,-0.16996735054501419
0,101128,midrange,-0.17861942085102508
0,101128,restricted,-0.046366645992573556
0,101131,center3,-0.0695300970307344
0,101131,paint,0.045818793675088232
0,101131,leftCorner3,-0.076080708303280467
0,101131,rightCorner3,-0.11652414987420914
0,101131,midrange,-0.089270955264500462
0,101131,restricted,-0.060244772306268832
0,101133,center3,-0.035143976102038808
